"Timestamp (Africa/Kigali)","Battery Monitor State of Charge (%)","Battery Monitor Discharged Energy (kWh)","Battery Monitor Charged Energy (kWh)","Solar Charger Battery Power (W)","Solar Charger PV Power (W)","System Overview AC Consumption (W)","System Overview Battery Power (W)"
2019-07-20 00:03:00,98.4,38.57,NA,0,0,35,-46.026001
2019-07-20 00:18:00,98.3,38.58,NA,0,0,35,-45.990002
2019-07-20 00:33:00,98.3,38.59,NA,0,0,36,-45.963001
2019-07-20 00:48:00,98.2,38.6,NA,0,0,36,-45.936001
2019-07-20 01:03:00,98.1,38.62,NA,0,0,36,-45.909
2019-07-20 01:18:00,98.1,38.63,NA,0,0,37,-50.970001
2019-07-20 01:33:00,98,38.64,NA,0,0,36,-45.863998
2019-07-20 01:48:00,98,38.65,NA,0,0,36,-45.846001
2019-07-20 02:03:00,97.9,38.66,NA,0,0,35,-45.819
2019-07-20 02:18:00,97.9,38.67,NA,0,0,35,-45.810001
2019-07-20 02:33:00,97.8,38.69,NA,0,0,35,-45.800999
2019-07-20 02:44:00,97.8,NA,NA,0,0,37,-50.880001
2019-07-20 02:44:00,97.8,NA,NA,0,0,37,-50.880001
2019-07-20 02:44:00,97.8,NA,NA,0,0,37,-50.869999
2019-07-20 02:45:00,97.8,38.7,NA,0,0,37,-45.792
2019-07-20 02:45:00,97.8,NA,NA,0,0,34,-45.792
2019-07-20 02:45:00,97.8,NA,NA,0,0,35,-45.792
2019-07-20 02:48:00,97.8,NA,NA,0,0,34,-45.792
2019-07-20 03:03:00,97.7,38.71,NA,0,0,36,-45.783001
2019-07-20 03:18:00,97.6,38.72,NA,0,0,35,-45.783001
2019-07-20 03:33:00,97.6,38.73,NA,0,0,35,-45.783001
2019-07-20 03:39:00,97.6,38.74,NA,0,0,35,-45.773998
2019-07-20 03:39:00,97.6,NA,NA,0,0,35,-45.773998
2019-07-20 03:40:00,97.6,NA,NA,0,0,35,-45.773998
2019-07-20 03:40:00,97.6,NA,NA,0,0,32,-45.773998
2019-07-20 03:42:00,97.6,NA,NA,0,0,35,-45.773998
2019-07-20 03:42:00,97.6,NA,NA,0,0,34,-45.773998
2019-07-20 03:46:00,97.5,NA,NA,0,0,35,-45.773998
2019-07-20 03:47:00,97.5,NA,NA,0,0,36,-45.773998
2019-07-20 03:47:00,97.5,NA,NA,0,0,35,-45.773998
2019-07-20 03:48:00,97.5,NA,NA,0,0,34,-45.773998
2019-07-20 04:03:00,97.5,38.76,NA,0,0,35,-45.773998
2019-07-20 04:18:00,97.4,38.77,NA,0,0,35,-45.764999
2019-07-20 04:33:00,97.4,38.78,NA,0,0,35,-45.764999
2019-07-20 04:48:00,97.3,38.79,NA,0,0,34,-45.764999
2019-07-20 05:03:00,97.3,38.8,NA,0,0,35,-45.756001
2019-07-20 05:18:00,97.2,38.81,NA,0,0,34,-45.756001
2019-07-20 05:33:00,97.1,38.82,NA,0,0,34,-45.756001
2019-07-20 05:48:00,97.1,38.84,NA,0,0,35,-45.747002
2019-07-20 06:03:00,97,38.85,NA,0,0,34,-45.747002
2019-07-20 06:18:00,97,38.86,NA,0,0,34,-45.747002
2019-07-20 06:33:00,96.9,38.87,NA,0,0,34,-45.747002
2019-07-20 06:48:00,96.9,38.88,NA,0,0,34,-45.747002
2019-07-20 06:57:00,96.8,NA,NA,5,6,33,-45.747002
2019-07-20 06:57:00,96.8,38.89,NA,0,0,33,-45.747002
2019-07-20 07:03:00,96.8,NA,NA,5,6,33,-40.664001
2019-07-20 07:18:00,96.7,38.91,NA,10,11,38,-45.756001
2019-07-20 07:33:00,96.7,NA,NA,46,50,36,0
2019-07-20 07:48:00,96.7,38.92,NA,98,99,38,41.456001
2019-07-20 08:03:00,96.7,NA,44.56,68,69,43,5.214
2019-07-20 08:18:00,100,NA,44.57,236,244,43,177.044998
2019-07-20 08:33:00,100,NA,44.62,350,359,46,289.326996
2019-07-20 08:48:00,100,NA,44.68,244,256,47,189.664993
2019-07-20 09:03:00,100,NA,44.75,400,412,47,344.471985
2019-07-20 09:10:00,100,NA,44.79,493,507,43,429.825012
2019-07-20 09:10:00,100,NA,NA,494,506,47,430.5
2019-07-20 09:12:00,100,NA,44.8,452,463,46,382.770996
2019-07-20 09:12:00,100,NA,NA,487,497,47,418.290009
2019-07-20 09:14:00,100,NA,44.82,452,455,48,377.256012
2019-07-20 09:18:00,100,NA,44.84,304,309,45,237.789993
2019-07-20 09:29:00,100,NA,44.88,407,415,44,343.559998
2019-07-20 09:33:00,100,NA,44.9,362,374,49,298.480011
2019-07-20 09:47:00,100,NA,NA,310,319,46,246.820007
2019-07-20 09:47:00,100,NA,44.97,310,319,46,246.820007
2019-07-20 09:47:00,100,NA,NA,310,319,45,246.863007
2019-07-20 09:47:00,100,NA,NA,310,319,44,246.820007
2019-07-20 09:48:00,100,NA,NA,310,319,46,246.820007
2019-07-20 10:03:00,100,NA,45.03,264,275,46,206.675995
2019-07-20 10:06:00,100,NA,45.04,264,270,44,200.934998
2019-07-20 10:06:00,100,NA,NA,264,270,44,200.934998
2019-07-20 10:10:00,100,NA,45.05,253,261,45,195.194
2019-07-20 10:18:00,100,NA,45.06,149,153,42,93.533997
2019-07-20 10:33:00,100,NA,45.08,132,139,40,82.544998
2019-07-20 10:48:00,100,NA,45.1,132,134,42,71.539001
2019-07-20 11:03:00,100,NA,45.12,116,121,39,66.036003
2019-07-20 11:18:00,100,NA,45.14,110,113,38,60.533001
2019-07-20 11:33:00,100,NA,45.15,105,108,37,55.029999
2019-07-20 11:38:00,100,NA,NA,99,104,37,49.518002
2019-07-20 11:48:00,100,NA,45.16,99,104,37,49.527
2019-07-20 12:03:00,100,NA,45.17,88,95,38,49.527
2019-07-20 12:18:00,100,NA,45.19,88,95,36,44.023998
2019-07-20 12:33:00,100,NA,45.2,83,89,37,33.012001
2019-07-20 12:48:00,100,NA,45.21,88,90,37,38.521
2019-07-20 13:03:00,100,NA,45.22,83,89,37,33.012001
2019-07-20 13:18:00,100,NA,NA,83,85,37,33.018002
2019-07-20 13:33:00,100,NA,45.23,83,86,39,33.018002
2019-07-20 13:48:00,100,NA,45.24,83,84,39,27.514999
2019-07-20 14:03:00,100,NA,45.25,83,86,44,27.514999
2019-07-20 14:18:00,100,NA,NA,77,81,39,27.514999
2019-07-20 14:33:00,100,NA,45.26,77,78,41,22.007999
2019-07-20 14:48:00,100,NA,NA,77,79,40,22.011999
2019-07-20 15:03:00,100,NA,45.27,72,76,39,22.011999
2019-07-20 15:18:00,100,NA,45.28,77,76,41,22.011999
2019-07-20 15:33:00,100,NA,NA,72,74,39,22.016001
2019-07-20 15:48:00,100,NA,45.29,77,77,42,22.011999
2019-07-20 16:03:00,100,NA,NA,72,74,42,16.509001
2019-07-20 16:18:00,100,NA,NA,66,67,37,11.006
2019-07-20 16:33:00,100,NA,45.3,66,67,39,11.006
2019-07-20 16:48:00,100,NA,NA,61,68,40,11.008
2019-07-20 17:03:00,100,NA,NA,61,65,40,11.006
2019-07-20 17:18:00,100,NA,45.31,66,69,41,11.006
2019-07-20 17:33:00,100,NA,NA,66,69,41,11.006
2019-07-20 17:48:00,100,NA,NA,66,69,40,11.006
2019-07-20 18:03:00,100,NA,45.32,66,69,40,11.006
2019-07-20 18:17:00,100,NA,NA,55,60,42,0
2019-07-20 18:18:00,100,NA,NA,38,42,40,-10.91
2019-07-20 18:19:00,100,NA,NA,38,44,38,-10.872
2019-07-20 18:33:00,100,NA,NA,11,14,41,-42.192001
2019-07-20 18:48:00,99.9,38.93,NA,0,6,40,-46.602001
2019-07-20 19:03:00,99.9,38.95,NA,0,2,38,-51.59
2019-07-20 19:16:00,99.8,NA,NA,5,3,38,-51.549999
2019-07-20 19:16:00,99.8,38.96,NA,5,3,38,-51.549999
2019-07-20 19:18:00,99.8,NA,NA,0,0,38,-51.549999
2019-07-20 19:33:00,99.7,38.97,NA,0,0,37,-46.395
2019-07-20 19:48:00,99.7,38.98,NA,0,0,32,-41.264
2019-07-20 20:03:00,99.6,38.99,NA,0,0,33,-41.256001
2019-07-20 20:18:00,99.5,39.01,NA,0,0,65,-77.025002
2019-07-20 20:33:00,99.4,39.03,NA,0,0,65,-71.917999
2019-07-20 20:48:00,99.3,39.05,NA,0,0,33,-46.376999
2019-07-20 21:03:00,99.3,39.06,NA,0,0,32,-46.368
2019-07-20 21:18:00,99.2,39.07,NA,0,0,36,-46.359001
2019-07-20 21:33:00,99.2,39.08,NA,0,0,37,-41.192001
2019-07-20 21:48:00,99.1,39.1,NA,0,0,34,-46.332001
2019-07-20 22:03:00,99.1,39.11,NA,0,0,35,-51.459999
2019-07-20 22:18:00,99,39.12,NA,0,0,35,-46.313999
2019-07-20 22:33:00,98.9,39.13,NA,0,0,36,-46.296001
2019-07-20 22:48:00,98.9,39.14,NA,0,0,35,-46.286999
2019-07-20 23:03:00,98.8,39.15,NA,0,0,35,-46.278
2019-07-20 23:18:00,98.8,39.17,NA,0,0,35,-46.269001
2019-07-20 23:33:00,98.7,39.18,NA,0,0,34,-46.259998
2019-07-20 23:48:00,98.7,39.19,NA,0,0,36,-46.242001
2019-07-21 00:03:00,98.6,39.2,NA,0,0,32,-46.250999
