,CPE1,CPE2,CPE3,CPE4,CPE5,CPE6,CPE7,S1_LVL,S2_LVL,S3_LVL,S4_LVL,CPER2,CPEUN
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,90.0,32.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.555555556,0.0,0.0,60.0,36.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.652173913,2.285714286,6.909090909,0.0,77.0,35.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,2.304347826,2.52,0.0,48.0,37.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.782608696,2.545454545,0.0,0.0,73.0,36.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.347826087,0.318181818,0.0,0.0,51.0,34.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.083333333,2.304347826,4.565217391,0.0,115.0,31.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,2.28,1.217391304,0.0,151.0,29.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.19047619,0.0,0.0,185.0,29.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,6.083333333,0.0,0.0,192.0,29.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.136363636,6.47826087,0.0,0.0,115.0,2.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.6,0.0,0.0,126.0,29.0
12,0.0,3.082666667,0.0,0.2776,0.222928571,0.40075,0.9449743580000001,0.0,0.0,0.0,0.0,103.0,41.0
13,0.0,0.0,0.0,0.0,0.24652381,0.0,0.0,0.0,0.0,0.0,0.0,187.0,40.0
14,0.0,0.0,0.0,0.0,0.239681818,0.0,0.0,0.0,0.0,0.0,0.0,225.0,41.0
15,0.0,0.0,0.0,0.0,0.246,0.0,0.0,0.0,0.0,0.0,0.0,263.0,41.0
16,0.0,0.0,0.0,0.0,0.240904762,0.0,0.0,0.0,0.0,0.0,0.0,11.0,41.0
17,0.0,0.0,0.0,0.0,0.5993309520000001,0.0,0.0,0.0,0.0,0.0,0.0,202.0,41.0
18,0.0,0.0,0.0,0.0,10.1865,0.0,0.0,0.0,0.0,0.0,0.0,183.0,41.0
19,0.0,0.0,0.0,0.0,9.515095238,0.0,0.0,0.0,0.0,0.0,0.0,95.0,42.0
20,0.0,0.0,0.0,0.0,9.834285714,0.0,0.0,0.0,0.0,0.0,0.0,99.0,42.0
21,0.0,0.0,0.0,0.0,9.552399999999999,0.0,0.0,0.0,0.0,0.0,0.0,74.0,41.0
22,0.0,0.0,0.0,0.0,9.615367965,0.0,0.0,0.0,0.0,0.0,0.0,62.0,40.0
23,0.0,0.0,0.0,0.0,6.102238095000001,0.0,0.0,0.0,0.0,0.0,0.0,60.0,3.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.826086957,0.0,0.0,0.0,57.0,24.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0952381,0.0,0.0,0.0,56.0,41.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.538461538,0.0,0.0,0.0,53.0,47.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.48,0.0,0.0,0.0,52.0,43.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.565217391,0.0,0.0,0.0,49.0,68.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.045454545,0.0,0.0,0.0,5.0,83.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,28.0,30.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,164.0,42.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,209.0,37.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,225.0,35.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.043478261,0.0,0.0,0.0,194.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.619047619,0.0,0.0,0.0,188.0,22.0
36,0.0,0.0,0.0,0.0,9.834285714,0.0,0.0,6.19047619,3.173913043,0.0,0.0,189.0,28.0
37,0.0,0.0,0.0,3.323,9.552399999999999,0.0,0.0,10.85,7.571428571,0.0,0.0,192.0,27.0
38,0.0,0.0,0.0,3.323,9.615367965,0.0,0.0,8.058823529,2.733333333,0.0,0.0,172.0,27.0
39,0.0,0.0,0.0,3.323,6.102238095000001,0.0,0.0,5.0,0.0,210.0714286,0.0,206.0,27.0
40,0.0,0.0,0.0,0.1729,9.78080719,0.0,0.0,2.238095238,0.0,0.0,0.0,7.0,28.0
41,0.0,0.0,0.0,0.0,9.772483333,0.0,0.0,1.0,0.0,0.0,0.0,209.0,27.0
42,0.0,0.0,0.0,0.0,9.703175,0.0,0.0,1.16,0.0,0.0,0.0,173.0,27.0
43,0.0,0.0,0.0,0.0,9.750912699,0.0,0.0,1.086956522,0.0,0.0,0.0,143.0,28.0
44,0.0,0.21952381,0.21952381,0.0,9.71255,0.0,0.0,1.130434783,0.0,0.0,0.0,122.0,28.0
45,0.0,0.0,0.0,0.0,9.761368421,0.0,0.0,1.047619048,0.0,0.0,0.0,114.0,27.0
46,0.0,0.0,0.0,0.0,9.755894737,0.0,0.0,1.125,0.0,0.0,0.0,92.0,26.0
47,0.0,0.0,0.0,0.350642857,6.0504999999999995,0.0,0.0,0.714285714,0.210526316,0.0,0.0,76.0,1.0
48,0.0,0.0,0.0,0.350642857,0.0,0.0,0.0,1.5,2.166666667,1.875,0.705882353,68.0,33.0
49,0.0,0.0,0.0,0.350642857,0.0,0.0,0.0,12.75,1.954545455,0.0,0.0,65.0,43.0
50,0.0,0.0,0.0,0.350642857,0.0,0.0,0.0,13.95652174,0.090909091,0.0,0.0,59.0,75.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.55,0.0,0.0,0.0,59.0,74.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0,53.0,51.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,3.0,36.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.047619048,0.0,0.0,0.0,94.0,31.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.307692308,0.0,0.0,0.0,131.0,41.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.20833333,0.0,0.0,0.0,173.0,51.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.086956522,0.0,0.0,0.0,168.0,62.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.291666667,0.0,0.0,0.0,196.0,1.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.44,0.12,0.0,205.0,182.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65,0.6,0.0,0.0,190.0,183.0
61,0.0,0.0,0.0,0.0,9.738142857,0.0,0.0,3.24,0.0,0.0,0.0,184.0,179.0
